央视,#genre#
江苏卫视,http://ivi.bupt.edu.cn/hls/jshd.m3u8#http://ivi.bupt.edu.cn/hls/jstv.m3u8#http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226242/1.m3u8#http://117.169.124.37:6610/ysten-businessmobile/live/hdjiangsustv/yst.m3u8
东方卫视,http://ivi.bupt.edu.cn/hls/dfhd.m3u8#http://ivi.bupt.edu.cn/hls/dftv.m3u8#http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226237/1.m3u8#http://117.169.124.37:6610/ysten-businessmobile/live/hddongfangstv/yst.m3u8
安徽卫视,http://ivi.bupt.edu.cn/hls/ahhd.m3u8#http://ivi.bupt.edu.cn/hls/ahtv.m3u8#http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226223/1.m3u8#http://112.50.243.8/PLTV/88888888/224/3221226942/1.m3u8
北京卫视,http://ivi.bupt.edu.cn/hls/btv1hd.m3u8#http://ivi.bupt.edu.cn/hls/btv1.m3u8#http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226224/1.m3u8#http://117.169.124.37:6610/ysten-businessmobile/live/hdbeijingstv/yst.m3u8
广东卫视,http://ivi.bupt.edu.cn/hls/gdhd.m3u8#http://ivi.bupt.edu.cn/hls/gdtv.m3u8#http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226238/1.m3u8#http://117.169.124.37:6610/ysten-businessmobile/live/hdguangdongstv/yst.m3u8#http://nat1.hk.pn:15501/gdtv.php?id=43
南方卫视,http://live.hcs.cmvideo.cn:8088/wd_r3/2018/nfmedia/nfws/1000/index.m3u8?ProgramID=&encrypt=#http://nat1.hk.pn:15501/gdtv.php?id=51
深圳卫视,http://ivi.bupt.edu.cn/hls/szhd.m3u8#http://ivi.bupt.edu.cn/hls/sztv.m3u8#http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226245/1.m3u8#http://112.50.243.8/PLTV/88888888/224/3221225938/1.m3u8
广西卫视,http://ivi.bupt.edu.cn/hls/gxhd.m3u8#http://ivi.bupt.edu.cn/hls/gxtv.m3u8#http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221225879/1.m3u8#http://live.hcs.cmvideo.cn:8088/wd-guangxiwssd-600/index.m3u8?ProgramID=&encrypt=
东南卫视,http://ivi.bupt.edu.cn/hls/dnhd.m3u8#http://ivi.bupt.edu.cn/hls/dntv.m3u8#http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221225876/1.m3u8#http://117.169.124.37:6610/ysten-businessmobile/live/dongnanstv/yst.m3u8
海峡卫视,rtsp://183.252.166.199/PLTV/88888888/224/3221226128/10000100000000060000000002434539_0.smil
